"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PFEDXPVV","conferencePaper","2007","Delugach, Harry S.","An Evaluation of the Pragmatics of Web-based Bug Tracking Tools","Proceedings of the 2Nd International Conference on Pragmatic Web","978-1-59593-859-6","","10.1145/1324237.1324243","http://doi.acm.org/10.1145/1324237.1324243","","2007","2016-03-14 21:39:47","2016-03-14 21:39:47","","49–55","","","","","","","ICPW '07","","","","ACM","New York, NY, USA","","","","","","","","","","","","conceptual graphs; process models; software issue tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AK4E97U","conferencePaper","2013","Cavalcanti, Yguaratã Cerqueira; da Mota Silveira Neto, Paulo Anselmo; do Carmo Machado, Ivan; de Almeida, Eduardo Santana; de Lemos Meira, Silvio Romero","Towards Understanding Software Change Request Assignment: A Survey with Practitioners","Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering","978-1-4503-1848-8","","10.1145/2460999.2461028","http://doi.acm.org/10.1145/2460999.2461028","","2013","2016-03-14 21:39:48","2016-03-14 21:39:48","","195–206","","","","","","","EASE '13","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug tracking; bug triage; change request assignment; issue tracking; software maintenance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NP2MD6XK","conferencePaper","2006","Anvik, John; Hiew, Lyndon; Murphy, Gail C.","Who Should Fix This Bug?","Proceedings of the 28th International Conference on Software Engineering","1-59593-375-1","","10.1145/1134285.1134336","http://doi.acm.org/10.1145/1134285.1134336","","2006","2016-03-14 21:39:48","2016-03-14 21:39:48","","361–370","","","","","","","ICSE '06","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug report assignment; bug triage; issue tracking; machine learning; problem tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZBUPF78","conferencePaper","2008","Herraiz, Israel; German, Daniel M.; Gonzalez-Barahona, Jesus M.; Robles, Gregorio","Towards a Simplification of the Bug Report Form in Eclipse","Proceedings of the 2008 International Working Conference on Mining Software Repositories","978-1-60558-024-1","","10.1145/1370750.1370786","http://doi.acm.org/10.1145/1370750.1370786","","2008","2016-03-14 21:39:48","2016-03-14 21:39:48","","145–148","","","","","","","MSR '08","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug report; bug tracking system; Eclipse; msr challenge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22BXQJP9","conferencePaper","2015","Chawla, Indu; Singh, Sandeep K.","An Automated Approach for Bug Categorization Using Fuzzy Logic","Proceedings of the 8th India Software Engineering Conference","978-1-4503-3432-7","","10.1145/2723742.2723751","http://doi.acm.org/10.1145/2723742.2723751","","2015","2016-03-14 21:39:48","2016-03-14 21:39:48","","90–99","","","","","","","ISEC '15","","","","ACM","New York, NY, USA","","","","","","","","","","","","Bug Categorization; bug repository; Fuzzy Logic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JH75IEC","conferencePaper","2011","Bhattacharya, Pamela; Neamtiu, Iulian","Bug-fix Time Prediction Models: Can We Do Better?","Proceedings of the 8th Working Conference on Mining Software Repositories","978-1-4503-0574-7","","10.1145/1985441.1985472","http://doi.acm.org/10.1145/1985441.1985472","","2011","2016-03-14 21:39:48","2016-03-14 21:39:48","","207–210","","","","","","","MSR '11","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug-fix time; bug report triage; issue tracking; statistical model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"926BEWHI","conferencePaper","2014","Yongpisanpop, Papon; Hata, Hideaki; Matsumoto, Kenichi","Bugarium: 3D Interaction for Supporting Large-scale Bug Repositories Analysis","Companion Proceedings of the 36th International Conference on Software Engineering","978-1-4503-2768-8","","10.1145/2591062.2591125","http://doi.acm.org/10.1145/2591062.2591125","","2014","2016-03-14 21:39:48","2016-03-14 21:39:48","","500–503","","","","","","","ICSE Companion 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","3D Interaction; big data; bug tracking; software visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID2GZ5SP","conferencePaper","2014","Gupta, Monika; Sureka, Ashish","Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies","Proceedings of the 7th India Software Engineering Conference","978-1-4503-2776-3","","10.1145/2590748.2590749","http://doi.acm.org/10.1145/2590748.2590749","","2014","2016-03-14 21:39:48","2016-03-14 21:39:48","","1:1–1:10","","","","","","","ISEC '14","","","","ACM","New York, NY, USA","","","","","","","","","","","","empirical software engineering and measurements; issue tracking system; mining software repositories; Open-source software; process mining; software maintenance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2E6VH9F","conferencePaper","2012","Liu, Kaiping; Tan, Hee Beng Kuan; Chandramohan, Mahinthan","Has This Bug Been Reported?","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","978-1-4503-1614-9","","10.1145/2393596.2393628","http://doi.acm.org/10.1145/2393596.2393628","","2012","2016-03-14 21:39:48","2016-03-14 21:39:48","","28:1–28:4","","","","","","","FSE '12","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug report; bug tracking system; duplicate; learning to rank; search engine; search quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVIEC72V","conferencePaper","2014","Lazar, Alina; Ritchey, Sarah; Sharif, Bonita","Generating Duplicate Bug Datasets","Proceedings of the 11th Working Conference on Mining Software Repositories","978-1-4503-2863-0","","10.1145/2597073.2597128","http://doi.acm.org/10.1145/2597073.2597128","","2014","2016-03-14 21:39:49","2016-03-14 21:39:49","","392–395","","","","","","","MSR 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","Data Repositories; Duplicate Bug Pairs; Duplicate Bug Reports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
