"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JAEMJA8I","conferencePaper","2012","Schwerz, A. L.; Liberato, R.; Wiese, I. S.; Steinmacher, I.; Gerosa, M. A.; Ferreira, J. E.","Prediction of Developer Participation in Issues of Open Source Projects","Collaborative Systems (SBSC), 2012 Brazilian Symposium on","","","10.1109/SBSC.2012.27","","Developers of distributed open source projects use management and issues tracking tool to communicate. These tools provide a large volume of unstructured information that makes the triage of issues difficult, increasing developers' overhead. This problem is common to online communities based on volunteer participation. This paper shows the importance of the content of comments in an open source project to build a classifier to predict the participation for a developer in an issue. To design this prediction model, we used two machine learning algorithms called Naive Bayes and J48. We used the data of three Apache Hadoop subprojects to evaluate the use of the algorithms. By applying our approach to the most active developers of these subprojects we have achieved an accuracy ranging from 79% to 96%. The results indicate that the content of comments in issues of open source projects is a relevant factor to build a classifier of issues for developers.","2012-10","2016-03-14 21:38:50","2016-03-14 21:38:50","","109-114","","","","","","","","","","","","","","","","","","","","","","","","Apache Hadoop subprojects; Argon; Bayesian methods; Content analysis; developer participation; distributed open source projects; Electronic mail; issue tracking classifier; learning (artificial intelligence); machine learning; machine learning algorithm; Machine learning algorithms; naive Bayes; prediction model; Predictive models; public domain software; Random access memory; Software; tracking tool; unstructured information; volunteer participation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBSNCH7K","conferencePaper","2011","Lamkanfi, A.; Demeyer, S.; Soetens, Q. D.; Verdonck, T.","Comparing Mining Algorithms for Predicting the Severity of a Reported Bug","Software Maintenance and Reengineering (CSMR), 2011 15th European Conference on","","","10.1109/CSMR.2011.31","","A critical item of a bug report is the so-called ""severity"", i.e. the impact the bug has on the successful execution of the software system. Consequently, tool support for the person reporting the bug in the form of a recommender or verification system is desirable. In previous work we made a first step towards such a tool: we demonstrated that text mining can predict the severity of a given bug report with a reasonable accuracy given a training set of sufficient size. In this paper we report on a follow-up study where we compare four well-known text mining algorithms (namely, Naive Bayes, Naive Bayes Multinomial, K-Nearest Neighbor and Support Vector Machines) with respect to accuracy and training set size. We discovered that for the cases under investigation (two open source systems: Eclipse and GNOME) Naive Bayes Multinomial performs superior compared to the other proposed algorithms.","2011-03","2016-03-14 21:38:51","2016-03-14 21:38:51","","249-258","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; bug report; Bug Reports; Bug Severity; Bugzilla; Computer bugs; data mining; Eclipse; GNOME; K-nearest neighbor; mining algorithm; naive Bayes; naive Bayes multinomial; Prediction algorithms; program debugging; program verification; Software; software system; support vector machines; text analysis; text mining; Training; verification system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7VUEI3U","conferencePaper","2014","Meurice, L.; Cleve, A.","DAHLIA: A visual analyzer of database schema evolution","Software Maintenance, Reengineering and Reverse Engineering (CSMR-WCRE), 2014 Software Evolution Week - IEEE Conference on","","","10.1109/CSMR-WCRE.2014.6747219","","In a continuously changing environment, software evolution becomes an unavoidable activity. The mining software repositories (MSR) field studies the valuable data available in software repositories such as source code version-control systems, issue/bug-tracking systems, or communication archives. In recent years, many researchers have used MSR techniques as a way to support software understanding and evolution. While many software systems are data-intensive, i.e., their central artefact is a database, little attention has been devoted to the analysis of this important system component in the context of software evolution. The goal of our work is to reduce this gap by considering the database evolution history as an additional information source to aid software evolution. We present DAHLIA (Database ScHema EvoLutIon Analysis), a visual analyzer of database schema evolution. Our tool mines the database schema evolution history from the software repository and allows its interactive, visual analysis. We describe DAHLIA and present our novel approach supporting data-intensive software evolution.","2014-02","2016-03-14 21:38:51","2016-03-14 21:38:51","","464-468","","","","","","","","","","","","","","","","","","","","","","","","bug tracking systems; communication archives; DAHLIA; database management systems; database schema evolution; data-intensive software evolution; data mining; data visualisation; History; Indexes; issue tracking systems; mining software repositories field; MSR techniques; program debugging; software maintenance; Software systems; software understanding; source code (software); source code version-control systems; visual analyzer; Visual databases; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEFVZGQX","conferencePaper","2014","Hamlaoui, M. El; Ebersold, S.; Coulette, B.; Nassar, M.; Anwar, A.","Heterogeneous models matching for consistency management","Research Challenges in Information Science (RCIS), 2014 IEEE Eighth International Conference on","","","10.1109/RCIS.2014.6861074","","This work is situated in the context of the application of Model Driven Engineering to complex systems view-based modelling. In fact, view-based models - called also partial models - are manipulated by different actors (designers), and are thus generally heterogeneous, that is, described with different DSLs (Domain Specific Languages). Instead of building a single global model, which is not realistic, we propose to organize the different partial models as a network of related models, which provides a global view of the system through a correspondence model. As models are modelled separately by different designers, they also evolve separately that induces a problem of consistency. To solve it, we propose a semi-automatic process based on the correspondence model allowing detecting changes, calculating their impacts, and proposing modifications to maintain the consistency among them. The approach is supported by a tool chain and illustrated by the example of a Bug Tracking System.","2014-05","2016-03-14 21:38:51","2016-03-14 21:38:51","","1-12","","","","","","","","","","","","","","","","","","","","","","","","Abstracts; Adaptation models; Analytical models; Business; change processing; consistency; consistency management; correspondence model; Domain Specific Languages; DSL; heterogeneous model matching; Heterogeneous models; Information systems; model driven engineering; software engineering; Unified modeling language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P48TXI9B","journalArticle","2009","Gall, H. C.; Fluri, B.; Pinzger, M.","Change Analysis with Evolizer and ChangeDistiller","IEEE Software","","0740-7459","10.1109/MS.2009.6","","Evolizer a platform for mining software archives, and ChangeDistiller, a change extraction and analysis tool, enable the retrospective analysis of a software system's evolution.","2009-01","2016-03-14 21:38:52","2016-03-14 21:38:52","","26-33","","1","26","","","","","","","","","","","","","","","","","","","","","change analysis; ChangeDistiller; configuration management; Costs; data mining; enhancement; Evolizer; Feedback; fine-grained change type analysis; fine-grained change type extraction; History; Information analysis; integrated development environment; issue-tracking systems; Java; maintenance; management of change; Project management; recommender systems; software archives; software development management; software evolution analysis; software prototyping; Software systems; Software tools; source code version-control systems; Taxonomy; technology requirements; version control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKKDJF6D","conferencePaper","2010","Clarke, J.; Vines, J.; Kirk, K.; Mark, E.; Angelini, R.; Spear, C.; Waisbrot, N.; Martin, J.; Leiter, K.; Hoffman, B.","A Common Computational Science Environment for High Performance Computing Centers","High Performance Computing Modernization Program Users Group Conference (HPCMP-UGC), 2010 DoD","","","10.1109/HPCMP-UGC.2010.68","","The Computational Sciences Environment (CSE) was developed to provide a standard development platform for data analysis, visualization, and software testing and evaluation. The Classified Data Analysis and Assessment Center (CDAAC), in conjunction with the Computational Sciences and Engineering Branch (CSEB) of the Army Research Laboratory, assembled a set of open source data analysis tools and applications, software management and testing tools, and libraries necessary to run the tools; and made them available as a package called CSE. CSE also provides experimental software builds for users who might need newer features than what is currently available in the release package. The CSE team provides support for developers, the end-user, and distributed development teams. Tests are regularly run on the software, both current and release, and the results are submitted to quality dashboards for review using CTest. CTest is part of an open-source software building tool called CMake. Developers can use CSE as a template and can customize it to meet their specific project goals. CSE provides developers with a common tool set to assist in developing portable high performance computing (HPC) Applications. Development of CSE has been managed through an open-source project management application that provides Software Configuration Management (SCM) integration of the CSE repository, informational wikis, bug tracking, and feature requests. To support distributed development teams, CSE provides project management tools, software repositories, SCM, and online software quality dashboards.","2010-06","2016-03-14 21:38:52","2016-03-14 21:38:52","","442-449","","","","","","","","","","","","","","","","","","","","","","","","Buildings; classified data analysis and assessment center; computational science environment; computer centres; CSE; CTest; data analysis; data visualisation; data visualization; high performance computing centre; informational wikis; libraries; open source software; program testing; Project management; project management tools; public domain software; quality dashboards; SCM; Software; software configuration management; software libraries; software management; software package; software packages; software quality; software repositories; software testing; Software tools; Testing; US Department of Defense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNUHCHW7","conferencePaper","2014","Huo, D.; Ding, T.; McMillan, C.; Gethers, M.","An Empirical Study of the Effects of Expert Knowledge on Bug Reports","Software Maintenance and Evolution (ICSME), 2014 IEEE International Conference on","","","10.1109/ICSME.2014.22","","Bug reports are crucial software artifacts for both software maintenance researchers and practitioners. A typical use of bug reports by researchers is to evaluate automated software maintenance tools: a large repository of reports is used as input for a tool, and metrics are calculated from the tool's output. But this process is quite different from practitioners, who distinguish between reports written by experts such as programmers, and reports written by non-experts such as users. Practitioners recognize that the content of a bug report depends on its author's expert knowledge. In this paper, we present an empirical study of the textual difference between bug reports written by experts and non-experts. We find that a significance difference exists, and that this difference has a significant impact on the results from a state-of-the-art feature location tool. Our recommendation is that researchers evaluate maintenance tools using different sets of bug reports for experts and non-experts.","2014-09","2016-03-14 21:38:52","2016-03-14 21:38:52","","1-10","","","","","","","","","","","","","","","","","","","","","","","","automated software maintenance tool evaluation; bug report content; Bug Reports; Computer bugs; empirical analysis; empirical study; expert knowledge; feature location tool; Information retrieval; large-report repository; Maintenance engineering; Measurement; program debugging; Semantics; software artifacts; software maintenance; software maintenance practitioners; software maintenance researchers; software metrics; textual difference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQ2K4ZKB","conferencePaper","2014","Le, T. D. B.; Thung, F.; Lo, D.","Predicting Effectiveness of IR-Based Bug Localization Techniques","Software Reliability Engineering (ISSRE), 2014 IEEE 25th International Symposium on","","","10.1109/ISSRE.2014.39","","Recently, many information retrieval (IR) based bug localization approaches have been proposed in the literature. These approaches use information retrieval techniques to process a textual bug report and a collection of source code files to find buggy files. They output a ranked list of files sorted by their likelihood to contain the bug. Recent approaches can achieve reasonable accuracy, however, even a state-of-the-art bug localization tool outputs many ranked lists where buggy files appear very low in the lists. This potentially causes developers to distrust bug localization tools. Parnin and Orso recently conduct a user study and highlight that developers do not find an automated debugging tool useful if they do not find the root cause of a bug early in a ranked list. To address this problem, we build an oracle that can automatically predict whether a ranked list produced by an IR-based bug localization tool is likely to be effective or not. We consider a ranked list to be effective if a buggy file appears in the top-N position of the list. If a ranked list is unlikely to be effective, developers do not need to waste time in checking the recommended files one by one. In such cases, it is better for developers to use traditional debugging methods or request for further information to localize bugs. To build this oracle, our approach extracts features that can be divided into four categories: score features, textual features, topic model features, and metadata features. We build a separate prediction model for each category, and combine them to create a composite prediction model which is used as the oracle. We name our proposed approach APRILE, which stands for Automated Prediction of IR-based Bug Localization's Effectiveness. We have evaluated APRILE to predict the effectiveness of three state-of-the-art IR based bug localization tools on more than three thousands bug reports from AspectJ, Eclipse, and SWT. APRILE can achieve an average precision, recall, and - -measure of at least 70.36%, 66.94%, and 68.03%, respectively. Furthermore, APRILE outperforms a baseline approach by 84.48%, 17.74%, and 31.56% for the AspectJ, Eclipse, and SWT bug reports, respectively.","2014-11","2016-03-14 21:38:53","2016-03-14 21:38:53","","335-345","","","","","","","","","","","","","","","","","","","","","","","","APRILE; AspectJ; automated debugging tool; automated prediction of IR-based bug localization effectiveness; buggy files; Bug Localization; bug localization tool; Bug Reports; composite prediction model; Computational modeling; Computer bugs; Debugging; Eclipse; Effectiveness Prediction; feature extraction; Information retrieval; information retrieval based bug localization approach; information retrieval techniques; IR-based bug localization techniques; meta data; metadata features; Predictive models; program debugging; recommended files; score features; source code files; source code (software); support vector machines; SWT; Text Classification; textual bug report; textual features; topic model features; traditional debugging method; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5956KN3C","conferencePaper","2007","Francisco, M. P.; Perez, P. B.; Robles, G.","Correlation between bug notifications, messages and participants in Debian's bug tracking system","Empirical Software Engineering and Measurement, 2007. ESEM 2007. First International Symposium on","","","10.1109/ESEM.2007.65","","Bugs are an essential part of software projects because they lead its evolution. Without bug notifications developers cannot know if their software is accomplishing its tasks properly. However, few analytical studies have been made about this aspect of projects. We have developed a tool to extract and to store information from Debian's BTS (Bug Tracking System) in a relational database. In this paper we show that there is a strong dependence between three variables which can be used to analyze the activity of a project through its bugs: bug notifications, communications between users and developers and people involved.","2007-09","2016-03-14 21:38:53","2016-03-14 21:38:53","","455-457","","","","","","","","","","","","","","","","","","","","","","","","bug notifications; Computer bugs; Control systems; data mining; Debian bug tracking system; Information retrieval; Internet; Packaging; Particle measurements; program debugging; relational database; relational databases; software engineering; Software measurement; software projects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAVG5TDH","conferencePaper","2009","Ye, En; Neiman, L. A.; Dinh, H. Q.; Liu, C.","SecondWATCH: A workspace awareness tool based on a 3-D virtual world","Software Engineering - Companion Volume, 2009. ICSE-Companion 2009. 31st International Conference on","","","10.1109/ICSE-COMPANION.2009.5071004","","Awareness of fellow developers' activities has been widely recognized as essential in facilitating collaboration in a software developing team. However, as reported in several field studies on software development, awareness information on software artifact and coworker is difficult to acquire. To help software developers maintain group awareness and enhance their collaboration, we developed a prototype workspace awareness tool called SecondWATCH based on Second Life, a 3D online virtual world. SecondWATCH informs developers of real-time and history artifact and coworker information by monitoring team members' activities on their local workspaces, version control repository, and bug tracking system. It then extracts, analyzes, and visualizes the information in SL as a common view shared by the whole team using a 3-D city metaphor. We have successfully used SecondWATCH to visualize history information of three open-source Java projects, Free-Mind, JEdit, and GUJ, and also using it as our workspace awareness tool when we are developing it.","2009-05","2016-03-14 21:38:54","2016-03-14 21:38:54","","291-294","","","","","","","","","","","","","","","","","","","","","","","","3-D online virtual world; avatar; avatars; bug tracking system; Collaborative software; Collaborative tools; Collaborative work; configuration management; coworker information; Fellows; group awareness; groupware; History; Online Communities/Technical Collaboration; program debugging; Programming; SecondWATCH; software artifact; software development management; software development team; software maintenance; Software tools; version control repository; Visualization; workspace awareness tool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
