BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"978-1-4503-2846-3","Aggarwal:2014:MIT:2593801.2593810","Aggarwal, Ayushi; Waghmare, Gajendra & Sureka, Ashish","Mining Issue Tracking Systems Using Topic Models for Trend Analysis, Corpus Exploration, and Understanding Evolution","",,,"","52--58",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2593801.2593810","Proceedings of the 3rd International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering","","","RAISE 2014","","ACM","","","","","","","","","Bugs, Defect Tracking System, Google Chromium, Issue Tracking System, Latent Dirichlet Allocation, Software Maintenance, Topic Modeling","",""
6,"978-1-4673-2936-1","Alipour:2013:CAT:2487085.2487123","Alipour, Anahita; Hindle, Abram & Stroulia, Eleni","A Contextual Approach Towards More Accurate Duplicate Bug Report Detection","",,,"","183--192",2013,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2487085.2487123","Proceedings of the 10th Working Conference on Mining Software Repositories","","","MSR '13","","IEEE Press","","","","","","","","","","",""
7,"","Antoniol:2005:TIV:2772069.2772087","Antoniol, Giuliano; Di Penta, Massimiliano; Gall, Harald & Pinzger, Martin","Towards the Integration of Versioning Systems, Bug Reports and Source Code Meta-Models","Electron. Notes Theor. Comput. Sci.",127,3,"April","87--99",2005,"Amsterdam, The Netherlands, The Netherlands","","http://dx.doi.org/10.1016/j.entcs.2004.08.036","","","","","","Elsevier Science Publishers B. V.","","","","","","","","","Bug Reports, Object-Oriented Meta-Models, Release History, Source Code Analysis","",""
6,"1-59593-342-5","Anvik:2005:COB:1117696.1117704","Anvik, John; Hiew, Lyndon & Murphy, Gail C.","Coping with an Open Bug Repository","",,,"","35--39",2005,"New York, NY, USA","","http://doi.acm.org/10.1145/1117696.1117704","Proceedings of the 2005 OOPSLA Workshop on Eclipse Technology eXchange","","","eclipse '05","","ACM","","","","","","","","","bugzilla, duplicate detection, machine learning, triage","",""
6,"0-7695-2830-9","Anvik:2007:DIE:1260984.1261303","Anvik, John & Murphy, Gail C.","Determining Implementation Expertise from Bug Reports","",,,"","2--",2007,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSEW.2007.84","Proceedings of the 29th International Conference on Software Engineering Workshops","","","ICSEW '07","","IEEE Computer Society","","","","","","","","","","",""
6,"3-642-12028-8, 978-3-642-12028-2","Bacchelli:2010:PCM:2128562.2128570","Bacchelli, Alberto; D'Ambros, Marco & Lanza, Michele","Are Popular Classes More Defect Prone?","",,,"","59--73",2010,"Berlin, Heidelberg","","http://dx.doi.org/10.1007/978-3-642-12029-9_5","Proceedings of the 13th International Conference on Fundamental Approaches to Software Engineering","","","FASE'10","","Springer-Verlag","","","","","","","","","","",""
6,"978-0-7695-4912-5","Banerjee:2012:ADB:2417496.2417520","Banerjee, Sean; Cukic, Bojan & Adjeroh, Donald","Automated Duplicate Bug Report Classification Using Subsequence Matching","",,,"","74--81",2012,"Washington, DC, USA","","http://dx.doi.org/10.1109/HASE.2012.38","Proceedings of the 2012 IEEE 14th International Symposium on High-Assurance Systems Engineering","","","HASE '12","","IEEE Computer Society","","","","","","","","","String Algorithms, Duplicate Bug Reports, Documentation, Experimentation, Verification","",""
6,"978-0-7695-4866-1","Bangcharoensap:2012:LSC:2419061.2419428","Bangcharoensap, Phiradet; Ihara, Akinori; Kamei, Yasutaka & Matsumoto, Ken-ichi","Locating Source Code to Be Fixed Based on Initial Bug Reports - A Case Study on the Eclipse Project","",,,"","10--15",2012,"Washington, DC, USA","","http://dx.doi.org/10.1109/IWESEP.2012.14","Proceedings of the 2012 Fourth International Workshop on Empirical Software Engineering in Practice","","","IWESEP '12","","IEEE Computer Society","","","","","","","","","Bug localization, Text mining, Code mining, Change history mining","",""
6,"978-0-7695-5144-9","Banitaan:2013:DUD:2584691.2584730","Banitaan, Shadi & Alenezi, Mamdouh","DECOBA: Utilizing Developers Communities in Bug Assignment","",,,"","66--71",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICMLA.2013.107","Proceedings of the 2013 12th International Conference on Machine Learning and Applications - Volume 02","","","ICMLA '13","","IEEE Computer Society","","","","","","","","","Developers Social Network, Community Detection, Bug Report Assignment, Developer Ranking","",""
6,"978-1-4673-3076-3","Baysal:2013:SAP:2486788.2486957","Baysal, Olga; Holmes, Reid & Godfrey, Michael W.","Situational Awareness: Personalizing Issue Tracking Systems","",,,"","1185--1188",2013,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2486788.2486957","Proceedings of the 2013 International Conference on Software Engineering","","","ICSE '13","","IEEE Press","","","","","","","","","","",""
6,"978-1-60558-015-9","Bettenburg:2007:QBR:1328279.1328284","Bettenburg, Nicolas; Just, Sascha; Schr\"{o}ter, Adrian; Wei\ss, Cathrin; Premraj, Rahul & Zimmermann, Thomas","Quality of Bug Reports in Eclipse","",,,"","21--25",2007,"New York, NY, USA","","http://doi.acm.org/10.1145/1328279.1328284","Proceedings of the 2007 OOPSLA Workshop on Eclipse Technology eXchange","","","eclipse '07","","ACM","","","","","","","","","","",""
