data_hora_revisao;cite_key;titulo_artigo;ano_artigo;resumo_artigo;situacao_artigo;observacoes
2016/06/09 19:38:23;Aggarwal:2014:MIT:2593801.2593810;MINING ISSUE TRACKING SYSTEMS USING TOPIC MODELS FOR TREND ANALYSIS, CORPUS EXPLORATION, AND UNDERSTANDING EVOLUTION;2014;Issue Tracking systems (ITS) such as Google Code Hosting and Bugzilla facilitate software maintenance activities through bug reporting, archiving and fixing. The large number of bug reports and their unstructured text makes it impractical for developers to manually extract actionable intelligence to expedite bug fixing. In this paper, we present an application of mining bug report description and threaded discussion comments using Latent Dirichlet Allocation (LDA) which is a topic modeling technique. We apply LDA on the Chromium Browser Project bug archives (open-source) to extract topics (discovery of semantically related terms) and the latent semantic relationship between documents (bug reports) and extracted topics for corpus exploration, trend analysis and understanding evolution in maintenance domain. We conduct a series of experiments to uncover latent topics potentially useful for developers and testers based on the bug meta-data such as time, priority, type, category and status. The analysis of reopened and duplicate bugs in particular, has important inferences for the developers and can help in applications such as expertise modeling, resource allocation and knowledge management.;Incluído;
2016/06/09 19:40:12;Ahmadi2015;SMALL DIM OBJECT TRACKING USING A MULTI OBJECTIVE PARTICLE SWARM OPTIMISATION TECHNIQUE;2015;Dim object tracking in a heavy clutter environment is a theoretical and technological challenge in the field of image processing. For a small dim object, conventional tracking methods fail for the lack of geometrical information. Multiple hypotheses testing (MHT) is one of the generally accepted methods in target tracking systems. However, processing a tree structure with a significant number of branches in MHT has been a challenging issue. Tracking high-speed objects with traditional MHT requires some presumptions which limit the capabilities of these methods. This study presents a hierarchal tracking system in two levels to solve this problem. For each point in the lower-level, a multi objective particle swarm optimisation technique is applied to a group of consecutive frames to reduce the number of branches in each tracking tree. Thus, an optimum track for each moving object is obtained in a group of frames. In the upper-level, an iterative process is used to connect the matching optimum tracks of the consecutive frames based on the spatial information and fitness values. The experimental results show that the proposed method has a superior performance in relation to some common dim object tracking methods over different image sequence data sets.;Removido;
2016/06/09 19:46:09;Alipour:2013:CAT:2487085.2487123;A CONTEXTUAL APPROACH TOWARDS MORE ACCURATE DUPLICATE BUG REPORT DETECTION;2013;Bug-tracking and issue-tracking systems tend to be populated with bugs, issues, or tickets written by a wide variety of bug reporters, with different levels of training and knowledge about the system being discussed. Many bug reporters lack the skills, vocabulary, knowledge, or time to efficiently search the issue tracker for similar issues. As a result, issue trackers are often full of duplicate issues and bugs, and bug triaging is time consuming and error prone. Many researchers have approached the bug-deduplication problem using off-the-shelf information-retrieval tools, such as BM25F used by Sun et al. In our work, we extend the state of the art by investigating how contextual information, relying on our prior knowledge of software quality, software architecture, and system-development (LDA) topics, can be exploited to improve bug-deduplication. We demonstrate the effectiveness of our contextual bug-deduplication method on the bug repository of the Android ecosystem. Based on this experience, we conclude that researchers should not ignore the context of software engineering when using IR tools for deduplication;Incluído;
2016/06/09 19:52:35;An2014;SUPPLEMENTARY BUG FIXES VS. RE-OPENED BUGS;2014;"  typical  bug  fixing  cycle  involves  the  reporting  of
a bug, the triaging of the report, the production and verification
of a fix, and the closing of the bug. However, previous work has
studied  two  phenomena  where  more  than  one  fix  are  associated
with  the  same  bug  report.  The  first  one  is  the  case  where
developers  re-open  a  previously  fixed  bug  in  the  bug  repository
(sometimes  even  multiple  times)  to  provide  a  new  bug  fix  that
replace a previous fix, whereas the second one is the case where
multiple commits in the version control system contribute to the
same bug report (“supplementary bug fixes”). Even though both
phenomena seem related, they have never been studied together,
i.e.,  are  supplementary  fixes  a  subset  of  re-opened  bugs  or  the
other way around? This paper investigates the interplay between
both  phenomena  in  five  open  source  software  projects:  Mozilla,
Netbeans, Eclipse JDT Core, Eclipse Platform SWT, and WebKit.
We  found  that  re-opened  bugs  account  for  between  21.6%  and
33.8% of all supplementary fixes. However, 33% to 57.5% of re-
opened bugs had only one commit associated, which means that
the  original  bug  report  was  prematurely  closed  instead  of  fixed
incorrectly.  Furthermore,  we  constructed  predictive  models  for
re-opened bugs using historical information about supplementary
bug  fixes  with  a  precision  between  72.2%  and  97%,  as  well
as  a  recall  between  47.7%  and  65.3%.  Software  researchers
and  practitioners  who  are  mining  data  repositories  can  use  our
approach to identify potential failures of their bug fixes and the
re-opening  of  bug  reports";incluído para Revisão em Pares;"Apesar de artigo tratar principalmente do problema do ""supplementary bug fixes"" aparentemente foi proposta uma ferramenta para minimizar o problema"
2016/06/09 19:55:26;Antoniol2005;Towards the Integration of Versioning Systems, Bug Reports and Source Code Meta-Models;2005;"Versioning system repositories and bug tracking systems are valuable sources of information to study the evolution of large open source software systems. However, being conceived for specific purposes, i.e., to support the development or trigger maintenance activities, they do neither allow an easy information browsing nor support the study of software evolution. For example, queries such as locating and browsing the faultiest methods are not provided.
This paper addresses such issues and proposes an approach and a framework to consistently merge information extracted from source code, versioning repositories and bug reports. Our information representation exploits the property concepts of the FAMIX information exchange meta-model, allowing to represent, browse, and query, at different level of abstractions, the concept of interest. This allows the user to navigate back and forth from versioning system modification reports to bug reports and to source code. This paper presents the analysis framework and approaches to populate it, tools developed and under development for it, as well as lessons learned while analyzing several releases of Mozilla.";incluído para Revisão em Pares;
2016/06/09 19:57:39;Anvik:2005:COB:1117696.1117704;COPING WITH AN OPEN BUG REPOSITORY;2005;Most open source software development projects include an open bug repository---one to which users of the software can gain full access---that is used to report and track problems with, and potential enhancements to, the software system. There are several potential advantages to the use of an open bug repository: more problems with the system might be identified because of the relative ease of reporting bugs, more problems might be fixed because more developers might engage in problem solving, and developers and users can engage in focused conversations about the bugs, allowing users input into the direction of the system. However, there are also some potential disadvantages such as the possibility that developers must process irrelevant bugs that reduce their productivity. Despite the rise in use of open bug repositories, there is little data about what is stored inside these repositories and how they are used. In this paper, we provide an initial characterization of two open bug repositories from the Eclipse and Firefox projects, describe the duplicate bug and bug triage problems that arise with these open bug repositories, and discuss how we are applying machine learning technology to help automate these processes.;Incluído;
2016/06/09 19:59:32;Anvik:2007:DIE:1260984.1261303;DETERMINING IMPLEMENTATION EXPERTISE FROM BUG REPORTS;2007;"As developers work on a software product they accumulate expertise, including expertise about the code base of the software product. We call this type of expertise ""implementation expertise'. Knowing the set of developers who have implementation expertise for a software product has many important uses. This paper presents an empirical evaluation of two approaches to determining implementation expertise from the data in source and bug repositories. The expertise sets created by the approaches are compared to those provided by experts and evaluated using the measures of precision and recall. We found that both approaches are good at finding all of the appropriate developers, although they vary in how many false positives are returned.";Incluído;
2016/06/09 20:01:01;Anvik2008;TASK ARTICULATION IN SOFTWARE MAINTENANCE: INTEGRATING SOURCE CODE ANNOTATIONS WITH AN ISSUE TRACKING SYSTEM;2008;Managing and articulating development tasks is an important aspect of software maintenance. Developers already have a variety of specialty tools to support task management, for example, issue tracking and configuration management software, but they also make use of other tools within their software engineering environments to support software task management. An example of one such mechanism is the appropriation of source code comments to document finer grained details of formally specified tasks. In this research, we propose and present a tool that integrates these source code annotations with an issue tracking management system. We describe how this tool addresses deficiencies that occur in task management and propose future research to improve task management;Incluído;
2016/06/09 20:02:51;Atwood2010;COLLABORATIVE SOFTWARE DEVELOPMENT OF SCALABLE DOD COMPUTATIONAL ENGINEERING;2010;The Computational Research and Engineering Acquisition Tools and Environments (CREATE) Program is charged with positively impacting the US Department of Defense (DoD) Acquisition Process via Computational Engineering for capability gaps identified by the CREATE Boards of Directors. These prioritized requirements have been characterized and are annually reconciled in terms of gaps associated with required analysis cycle-times, physical accuracy, and necessary analysis capabilities. Furthermore, the Office of the Secretary of Defense(OSD) Overarching Integrated Product Team (OIPT) has provided goals which drive the usage of CREATE software by DoD Acquisition Programs. In order to achieve these usage targets, the CREATE Program has established a governance model and thence a hosted set of services to enhance collaboration among the developer teams and the targeted Acquisition Program (AP) subject matter experts. The goals of these collaboration services are to: 1) scale and speed the feedback amongst the CREATE and AP teams, while 2) minimizing interruption to developer and user workflows. Towards these goals, the community services have been architected as discussion forums, issue tracking, and documentation. Such services are now common place in the enterprise and open-source software projects, and efficiently scale with the user community by enabling a searchable knowledge base. In addition, owing to the key capabilities of this DoD software, CREATE requires authenticated and authorized access for each member of the community. This paper summarizes the governance model and process by which the services were selected, the architecture implemented, and the challenges going forward;Removido;
2016/06/09 20:04:32;Azarbakht2014;TEMPORAL VISUALIZATION OF COLLABORATIVE SOFTWARE DEVELOPMENT IN FOSS FORKS;2014;Software development in free and open source (FOSS) projects is a collective human activity. Software developers in these projects collaborate via FOSS informalisms, i.e. mailing list, bug repository and code repository. Analysing the human collaborative work of these software developers over a time period, e.g. five years, sheds light on the underlying structure and dynamics of how the software is being developed, how the project is led, who the influencers are, and how to achieve a state of sustainability. In this paper, we propose to use temporal social network analysis with temporal visualization to study the evolution and social dynamics of FOSS communities. With these techniques we aim to identify measures associated with unhealthy group dynamics, e.g. a simmering conflict, as well as early indicators of major events in the lifespan of a community. One dynamic we are especially interested in, are those of forked FOSS projects. We used the results of a study of forked FOSS projects by [Robles and Gonzalez-Barahona 2012] as the starting platform for our study, and tried to gain a better understanding of the evolution of these communities.;Removido;
