"cite_key";"title";"author";"abstract";"booktitle";"label"
"Aggarwal:2014:MIT:2593801.2593810";"MINING ISSUE TRACKING SYSTEMS USING TOPIC MODELS FOR TREND ANALYSIS, CORPUS EXPLORATION, AND UNDERSTANDING EVOLUTION";"Aggarwal, Ayushi and Waghmare, Gajendra and Sureka, Ashish";"";"Proceedings of the 3rd International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering";"inproceedings"
"Ahmadi2015";"SMALL DIM OBJECT TRACKING USING A MULTI OBJECTIVE PARTICLE SWARM OPTIMISATION TECHNIQUE";"K. Ahmadi and E. Salari";"Dim object tracking in a heavy clutter environment is a theoretical and technological challenge in the field of image processing. For a small dim object, conventional tracking methods fail for the lack of geometrical information. Multiple hypotheses testing (MHT) is one of the generally accepted methods in target tracking systems. However, processing a tree structure with a significant number of branches in MHT has been a challenging issue. Tracking high-speed objects with traditional MHT requires some presumptions which limit the capabilities of these methods. This study presents a hierarchal tracking system in two levels to solve this problem. For each point in the lower-level, a multi objective particle swarm optimisation technique is applied to a group of consecutive frames to reduce the number of branches in each tracking tree. Thus, an optimum track for each moving object is obtained in a group of frames. In the upper-level, an iterative process is used to connect the matching optimum tracks of the consecutive frames based on the spatial information and fitness values. The experimental results show that the proposed method has a superior performance in relation to some common dim object tracking methods over different image sequence data sets.";"";"article"
"Alipour:2013:CAT:2487085.2487123";"A CONTEXTUAL APPROACH TOWARDS MORE ACCURATE DUPLICATE BUG REPORT DETECTION";"Alipour, Anahita and Hindle, Abram and Stroulia, Eleni";"";"Proceedings of the 10th Working Conference on Mining Software Repositories";"inproceedings"
"An2014";"SUPPLEMENTARY BUG FIXES VS. RE-OPENED BUGS";"L. An and F. Khomh and B. Adams";"A typical bug fixing cycle involves the reporting of a bug, the triaging of the report, the production and verification of a fix, and the closing of the bug. However, previous work has studied two phenomena where more than one fix are associated with the same bug report. The first one is the case where developers re-open a previously fixed bug in the bug repository (sometimes even multiple times) to provide a new bug fix that replace a previous fix, whereas the second one is the case where multiple commits in the version control system contribute to the same bug report (\""supplementary bug fixes\""). Even though both phenomena seem related, they have never been studied together, i.e., are supplementary fixes a subset of re-opened bugs or the other way around? This paper investigates the interplay between both phenomena in five open source software projects: Mozilla, Net beans, Eclipse JDT Core, Eclipse Platform SWT, and Web Kit. We found that re-opened bugs account for between 21.6% and 33.8% of all supplementary fixes. However, 33% to 57.5% of re-opened bugs had only one commit associated, which means that the original bug report was prematurely closed instead of fixed incorrectly. Furthermore, we constructed predictive models for re-opened bugs using historical information about supplementary bug fixes with a precision between 72.2% and 97%, as well as a recall between 47.7% and 65.3%. Software researchers and practitioners who are mining data repositories can use our approach to identify potential failures of their bug fixes and the re-opening of bug reports.";"Source Code Analysis and Manipulation (SCAM), 2014 IEEE 14th International Working Conference on";"inproceedings"
"Antoniol2005";"TOWARDS THE INTEGRATION OF VERSIONING SYSTEMS, BUG REPORTS AND SOURCE CODE META-MODELS";"Antoniol, G.a and Di Penta, M.a and Gall, H.b and Pinzger, M.c ";"Versioning system repositories and bug tracking systems are valuable sources of information to study the evolution of large open source software systems. However, being conceived for specific purposes, i.e., to support the development or trigger maintenance activities, they do neither allow an easy information browsing nor support the study of software evolution. For example, queries such as locating and browsing the faultiest methods are not provided. This paper addresses such issues and proposes an approach and a framework to consistently merge information extracted from source code, versioning repositories and bug reports. Our information representation exploits the property concepts of the FAMIX information exchange meta-model, allowing to represent, browse, and query, at different level of abstractions, the concept of interest. This allows the user to navigate back and forth from versioning system modification reports to bug reports and to source code. This paper presents the analysis framework and approaches to populate it, tools developed and under development for it, as well as lessons learned while analyzing several releases of Mozilla. © 2005 Elsevier B.V.";"";"article"
"Anvik:2005:COB:1117696.1117704";"COPING WITH AN OPEN BUG REPOSITORY";"Anvik, John and Hiew, Lyndon and Murphy, Gail C.";"";"Proceedings of the 2005 OOPSLA Workshop on Eclipse Technology eXchange";"inproceedings"
"Anvik:2007:DIE:1260984.1261303";"DETERMINING IMPLEMENTATION EXPERTISE FROM BUG REPORTS";"Anvik, John and Murphy, Gail C.";"";"Proceedings of the 29th International Conference on Software Engineering Workshops";"inproceedings"
"Anvik2008";"TASK ARTICULATION IN SOFTWARE MAINTENANCE: INTEGRATING SOURCE CODE ANNOTATIONS WITH AN ISSUE TRACKING SYSTEM";"J. Anvik and M. A. Storey";"Managing and articulating development tasks is an important aspect of software maintenance. Developers already have a variety of specialty tools to support task management, for example, issue tracking and configuration management software, but they also make use of other tools within their software engineering environments to support software task management. An example of one such mechanism is the appropriation of source code comments to document finer grained details of formally specified tasks. In this research, we propose and present a tool that integrates these source code annotations with an issue tracking management system. We describe how this tool addresses deficiencies that occur in task management and propose future research to improve task management.";"Software Maintenance, 2008. ICSM 2008. IEEE International Conference on";"inproceedings"
"Atwood2010";"COLLABORATIVE SOFTWARE DEVELOPMENT OF SCALABLE DOD COMPUTATIONAL ENGINEERING";"C. A. Atwood and S. Adamec and D. Post and L. Handley-Blair and M. Murphy";"The Computational Research and Engineering Acquisition Tools and Environments (CREATE) Program is charged with positively impacting the US Department of Defense (DoD) Acquisition Process via Computational Engineering for capability gaps identified by the CREATE Boards of Directors. These prioritized requirements have been characterized and are annually reconciled in terms of gaps associated with required analysis cycle-times, physical accuracy, and necessary analysis capabilities. Furthermore, the Office of the Secretary of Defense(OSD) Overarching Integrated Product Team (OIPT) has provided goals which drive the usage of CREATE software by DoD Acquisition Programs. In order to achieve these usage targets, the CREATE Program has established a governance model and thence a hosted set of services to enhance collaboration among the developer teams and the targeted Acquisition Program (AP) subject matter experts. The goals of these collaboration services are to: 1) scale and speed the feedback amongst the CREATE and AP teams, while 2) minimizing interruption to developer and user workflows. Towards these goals, the community services have been architected as discussion forums, issue tracking, and documentation. Such services are now common place in the enterprise and open-source software projects, and efficiently scale with the user community by enabling a searchable knowledge base. In addition, owing to the key capabilities of this DoD software, CREATE requires authenticated and authorized access for each member of the community. This paper summarizes the governance model and process by which the services were selected, the architecture implemented, and the challenges going forward.";"High Performance Computing Modernization Program Users Group Conference (HPCMP-UGC), 2010 DoD";"inproceedings"
"Azarbakht2014";"TEMPORAL VISUALIZATION OF COLLABORATIVE SOFTWARE DEVELOPMENT IN FOSS FORKS";"A. Azarbakht";"Software development in free and open source (FOSS) projects is a collective human activity. Software developers in these projects collaborate via FOSS informalisms, i.e. mailing list, bug repository and code repository. Analysing the human collaborative work of these software developers over a time period, e.g. five years, sheds light on the underlying structure and dynamics of how the software is being developed, how the project is led, who the influencers are, and how to achieve a state of sustainability. In this paper, we propose to use temporal social network analysis with temporal visualization to study the evolution and social dynamics of FOSS communities. With these techniques we aim to identify measures associated with unhealthy group dynamics, e.g. a simmering conflict, as well as early indicators of major events in the lifespan of a community. One dynamic we are especially interested in, are those of forked FOSS projects. We used the results of a study of forked FOSS projects by [Robles and Gonzalez-Barahona 2012] as the starting platform for our study, and tried to gain a better understanding of the evolution of these communities.";"2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)";"inproceedings"
"Bacchelli:2010:PCM:2128562.2128570";"ARE POPULAR CLASSES MORE DEFECT PRONE?";"Bacchelli, Alberto and D'Ambros, Marco and Lanza, Michele";"";"Proceedings of the 13th International Conference on Fundamental Approaches to Software Engineering";"inproceedings"
