cod_semana	data_inicio_semana	data_fim_semana
1	04/01/2004	10/01/2004
2	11/01/2004	17/01/2004
3	18/01/2004	24/01/2004
4	25/01/2004	31/01/2004
5	01/02/2004	07/02/2004
6	08/02/2004	14/02/2004
7	15/02/2004	21/02/2004
8	22/02/2004	28/02/2004
9	29/02/2004	06/03/2004
10	07/03/2004	13/03/2004
11	14/03/2004	20/03/2004
12	21/03/2004	27/03/2004
13	28/03/2004	03/04/2004
14	04/04/2004	10/04/2004
15	11/04/2004	17/04/2004
16	18/04/2004	24/04/2004
17	25/04/2004	01/05/2004
18	02/05/2004	08/05/2004
19	09/05/2004	15/05/2004
20	16/05/2004	22/05/2004
21	23/05/2004	29/05/2004
22	30/05/2004	05/06/2004
23	06/06/2004	12/06/2004
24	13/06/2004	19/06/2004
25	20/06/2004	26/06/2004
26	27/06/2004	03/07/2004
27	04/07/2004	10/07/2004
28	11/07/2004	17/07/2004
29	18/07/2004	24/07/2004
30	25/07/2004	31/07/2004
31	01/08/2004	07/08/2004
32	08/08/2004	14/08/2004
33	15/08/2004	21/08/2004
34	22/08/2004	28/08/2004
35	29/08/2004	04/09/2004
36	05/09/2004	11/09/2004
37	12/09/2004	18/09/2004
38	19/09/2004	25/09/2004
39	26/09/2004	02/10/2004
40	03/10/2004	09/10/2004
41	10/10/2004	16/10/2004
42	17/10/2004	23/10/2004
43	24/10/2004	30/10/2004
44	31/10/2004	06/11/2004
45	07/11/2004	13/11/2004
46	14/11/2004	20/11/2004
47	21/11/2004	27/11/2004
48	28/11/2004	04/12/2004
49	05/12/2004	11/12/2004
50	12/12/2004	18/12/2004
51	19/12/2004	25/12/2004
52	26/12/2004	01/01/2005
53	02/01/2005	08/01/2005
54	09/01/2005	15/01/2005
55	16/01/2005	22/01/2005
56	23/01/2005	29/01/2005
57	30/01/2005	05/02/2005
58	06/02/2005	12/02/2005
59	13/02/2005	19/02/2005
60	20/02/2005	26/02/2005
61	27/02/2005	05/03/2005
62	06/03/2005	12/03/2005
63	13/03/2005	19/03/2005
64	20/03/2005	26/03/2005
65	27/03/2005	02/04/2005
66	03/04/2005	09/04/2005
67	10/04/2005	16/04/2005
68	17/04/2005	23/04/2005
69	24/04/2005	30/04/2005
70	01/05/2005	07/05/2005
71	08/05/2005	14/05/2005
72	15/05/2005	21/05/2005
73	22/05/2005	28/05/2005
74	29/05/2005	04/06/2005
75	05/06/2005	11/06/2005
76	12/06/2005	18/06/2005
77	19/06/2005	25/06/2005
78	26/06/2005	02/07/2005
79	03/07/2005	09/07/2005
80	10/07/2005	16/07/2005
81	17/07/2005	23/07/2005
82	24/07/2005	30/07/2005
83	31/07/2005	06/08/2005
84	07/08/2005	13/08/2005
85	14/08/2005	20/08/2005
86	21/08/2005	27/08/2005
87	28/08/2005	03/09/2005
88	04/09/2005	10/09/2005
89	11/09/2005	17/09/2005
90	18/09/2005	24/09/2005
91	25/09/2005	01/10/2005
92	02/10/2005	08/10/2005
93	09/10/2005	15/10/2005
94	16/10/2005	22/10/2005
95	23/10/2005	29/10/2005
96	30/10/2005	05/11/2005
97	06/11/2005	12/11/2005
98	13/11/2005	19/11/2005
99	20/11/2005	26/11/2005
100	27/11/2005	03/12/2005
101	04/12/2005	10/12/2005
102	11/12/2005	17/12/2005
103	18/12/2005	24/12/2005
104	25/12/2005	31/12/2005
105	01/01/2006	07/01/2006
106	08/01/2006	14/01/2006
107	15/01/2006	21/01/2006
108	22/01/2006	28/01/2006
109	29/01/2006	04/02/2006
110	05/02/2006	11/02/2006
111	12/02/2006	18/02/2006
112	19/02/2006	25/02/2006
113	26/02/2006	04/03/2006
114	05/03/2006	11/03/2006
115	12/03/2006	18/03/2006
116	19/03/2006	25/03/2006
117	26/03/2006	01/04/2006
118	02/04/2006	08/04/2006
119	09/04/2006	15/04/2006
120	16/04/2006	22/04/2006
121	23/04/2006	29/04/2006
122	30/04/2006	06/05/2006
123	07/05/2006	13/05/2006
124	14/05/2006	20/05/2006
125	21/05/2006	27/05/2006
126	28/05/2006	03/06/2006
127	04/06/2006	10/06/2006
128	11/06/2006	17/06/2006
129	18/06/2006	24/06/2006
130	25/06/2006	01/07/2006
131	02/07/2006	08/07/2006
132	09/07/2006	15/07/2006
133	16/07/2006	22/07/2006
134	23/07/2006	29/07/2006
135	30/07/2006	05/08/2006
136	06/08/2006	12/08/2006
137	13/08/2006	19/08/2006
138	20/08/2006	26/08/2006
139	27/08/2006	02/09/2006
140	03/09/2006	09/09/2006
141	10/09/2006	16/09/2006
142	17/09/2006	23/09/2006
143	24/09/2006	30/09/2006
144	01/10/2006	07/10/2006
145	08/10/2006	14/10/2006
146	15/10/2006	21/10/2006
147	22/10/2006	28/10/2006
148	29/10/2006	04/11/2006
149	05/11/2006	11/11/2006
150	12/11/2006	18/11/2006
151	19/11/2006	25/11/2006
152	26/11/2006	02/12/2006
153	03/12/2006	09/12/2006
154	10/12/2006	16/12/2006
155	17/12/2006	23/12/2006
156	24/12/2006	30/12/2006
157	31/12/2006	06/01/2007
158	07/01/2007	13/01/2007
159	14/01/2007	20/01/2007
160	21/01/2007	27/01/2007
161	28/01/2007	03/02/2007
162	04/02/2007	10/02/2007
163	11/02/2007	17/02/2007
164	18/02/2007	24/02/2007
165	25/02/2007	03/03/2007
166	04/03/2007	10/03/2007
167	11/03/2007	17/03/2007
168	18/03/2007	24/03/2007
169	25/03/2007	31/03/2007
170	01/04/2007	07/04/2007
171	08/04/2007	14/04/2007
172	15/04/2007	21/04/2007
173	22/04/2007	28/04/2007
174	29/04/2007	05/05/2007
175	06/05/2007	12/05/2007
176	13/05/2007	19/05/2007
177	20/05/2007	26/05/2007
178	27/05/2007	02/06/2007
179	03/06/2007	09/06/2007
180	10/06/2007	16/06/2007
181	17/06/2007	23/06/2007
182	24/06/2007	30/06/2007
183	01/07/2007	07/07/2007
184	08/07/2007	14/07/2007
185	15/07/2007	21/07/2007
186	22/07/2007	28/07/2007
187	29/07/2007	04/08/2007
188	05/08/2007	11/08/2007
189	12/08/2007	18/08/2007
190	19/08/2007	25/08/2007
191	26/08/2007	01/09/2007
192	02/09/2007	08/09/2007
193	09/09/2007	15/09/2007
194	16/09/2007	22/09/2007
195	23/09/2007	29/09/2007
196	30/09/2007	06/10/2007
197	07/10/2007	13/10/2007
198	14/10/2007	20/10/2007
199	21/10/2007	27/10/2007
200	28/10/2007	03/11/2007
201	04/11/2007	10/11/2007
202	11/11/2007	17/11/2007
203	18/11/2007	24/11/2007
204	25/11/2007	01/12/2007
205	02/12/2007	08/12/2007
206	09/12/2007	15/12/2007
207	16/12/2007	22/12/2007
208	23/12/2007	29/12/2007
209	30/12/2007	05/01/2008
210	06/01/2008	12/01/2008
211	13/01/2008	19/01/2008
212	20/01/2008	26/01/2008
213	27/01/2008	02/02/2008
214	03/02/2008	09/02/2008
215	10/02/2008	16/02/2008
216	17/02/2008	23/02/2008
217	24/02/2008	01/03/2008
218	02/03/2008	08/03/2008
219	09/03/2008	15/03/2008
220	16/03/2008	22/03/2008
221	23/03/2008	29/03/2008
222	30/03/2008	05/04/2008
223	06/04/2008	12/04/2008
224	13/04/2008	19/04/2008
225	20/04/2008	26/04/2008
226	27/04/2008	03/05/2008
227	04/05/2008	10/05/2008
228	11/05/2008	17/05/2008
229	18/05/2008	24/05/2008
230	25/05/2008	31/05/2008
231	01/06/2008	07/06/2008
232	08/06/2008	14/06/2008
233	15/06/2008	21/06/2008
234	22/06/2008	28/06/2008
235	29/06/2008	05/07/2008
236	06/07/2008	12/07/2008
237	13/07/2008	19/07/2008
238	20/07/2008	26/07/2008
239	27/07/2008	02/08/2008
240	03/08/2008	09/08/2008
241	10/08/2008	16/08/2008
242	17/08/2008	23/08/2008
243	24/08/2008	30/08/2008
244	31/08/2008	06/09/2008
245	07/09/2008	13/09/2008
246	14/09/2008	20/09/2008
247	21/09/2008	27/09/2008
248	28/09/2008	04/10/2008
249	05/10/2008	11/10/2008
250	12/10/2008	18/10/2008
251	19/10/2008	25/10/2008
252	26/10/2008	01/11/2008
253	02/11/2008	08/11/2008
254	09/11/2008	15/11/2008
255	16/11/2008	22/11/2008
256	23/11/2008	29/11/2008
257	30/11/2008	06/12/2008
258	07/12/2008	13/12/2008
259	14/12/2008	20/12/2008
260	21/12/2008	27/12/2008
261	28/12/2008	03/01/2009
262	04/01/2009	10/01/2009
263	11/01/2009	17/01/2009
264	18/01/2009	24/01/2009
265	25/01/2009	31/01/2009
266	01/02/2009	07/02/2009
267	08/02/2009	14/02/2009
268	15/02/2009	21/02/2009
269	22/02/2009	28/02/2009
270	01/03/2009	07/03/2009
271	08/03/2009	14/03/2009
272	15/03/2009	21/03/2009
273	22/03/2009	28/03/2009
274	29/03/2009	04/04/2009
275	05/04/2009	11/04/2009
276	12/04/2009	18/04/2009
277	19/04/2009	25/04/2009
278	26/04/2009	02/05/2009
279	03/05/2009	09/05/2009
280	10/05/2009	16/05/2009
281	17/05/2009	23/05/2009
282	24/05/2009	30/05/2009
283	31/05/2009	06/06/2009
284	07/06/2009	13/06/2009
285	14/06/2009	20/06/2009
286	21/06/2009	27/06/2009
287	28/06/2009	04/07/2009
288	05/07/2009	11/07/2009
289	12/07/2009	18/07/2009
290	19/07/2009	25/07/2009
291	26/07/2009	01/08/2009
292	02/08/2009	08/08/2009
293	09/08/2009	15/08/2009
294	16/08/2009	22/08/2009
295	23/08/2009	29/08/2009
296	30/08/2009	05/09/2009
297	06/09/2009	12/09/2009
298	13/09/2009	19/09/2009
299	20/09/2009	26/09/2009
300	27/09/2009	03/10/2009
301	04/10/2009	10/10/2009
302	11/10/2009	17/10/2009
303	18/10/2009	24/10/2009
304	25/10/2009	31/10/2009
305	01/11/2009	07/11/2009
306	08/11/2009	14/11/2009
307	15/11/2009	21/11/2009
308	22/11/2009	28/11/2009
309	29/11/2009	05/12/2009
310	06/12/2009	12/12/2009
311	13/12/2009	19/12/2009
312	20/12/2009	26/12/2009
313	27/12/2009	02/01/2010
314	03/01/2010	09/01/2010
315	10/01/2010	16/01/2010
316	17/01/2010	23/01/2010
317	24/01/2010	30/01/2010
318	31/01/2010	06/02/2010
319	07/02/2010	13/02/2010
320	14/02/2010	20/02/2010
321	21/02/2010	27/02/2010
322	28/02/2010	06/03/2010
323	07/03/2010	13/03/2010
324	14/03/2010	20/03/2010
325	21/03/2010	27/03/2010
326	28/03/2010	03/04/2010
327	04/04/2010	10/04/2010
328	11/04/2010	17/04/2010
329	18/04/2010	24/04/2010
330	25/04/2010	01/05/2010
331	02/05/2010	08/05/2010
332	09/05/2010	15/05/2010
333	16/05/2010	22/05/2010
334	23/05/2010	29/05/2010
335	30/05/2010	05/06/2010
336	06/06/2010	12/06/2010
337	13/06/2010	19/06/2010
338	20/06/2010	26/06/2010
339	27/06/2010	03/07/2010
340	04/07/2010	10/07/2010
341	11/07/2010	17/07/2010
342	18/07/2010	24/07/2010
343	25/07/2010	31/07/2010
344	01/08/2010	07/08/2010
345	08/08/2010	14/08/2010
346	15/08/2010	21/08/2010
347	22/08/2010	28/08/2010
348	29/08/2010	04/09/2010
349	05/09/2010	11/09/2010
350	12/09/2010	18/09/2010
351	19/09/2010	25/09/2010
352	26/09/2010	02/10/2010
353	03/10/2010	09/10/2010
354	10/10/2010	16/10/2010
355	17/10/2010	23/10/2010
356	24/10/2010	30/10/2010
357	31/10/2010	06/11/2010
358	07/11/2010	13/11/2010
359	14/11/2010	20/11/2010
360	21/11/2010	27/11/2010
361	28/11/2010	04/12/2010
362	05/12/2010	11/12/2010
363	12/12/2010	18/12/2010
364	19/12/2010	25/12/2010
365	26/12/2010	01/01/2011
366	02/01/2011	08/01/2011
367	09/01/2011	15/01/2011
368	16/01/2011	22/01/2011
369	23/01/2011	29/01/2011
370	30/01/2011	05/02/2011
371	06/02/2011	12/02/2011
372	13/02/2011	19/02/2011
373	20/02/2011	26/02/2011
374	27/02/2011	05/03/2011
375	06/03/2011	12/03/2011
376	13/03/2011	19/03/2011
377	20/03/2011	26/03/2011
378	27/03/2011	02/04/2011
379	03/04/2011	09/04/2011
380	10/04/2011	16/04/2011
381	17/04/2011	23/04/2011
382	24/04/2011	30/04/2011
383	01/05/2011	07/05/2011
384	08/05/2011	14/05/2011
385	15/05/2011	21/05/2011
386	22/05/2011	28/05/2011
387	29/05/2011	04/06/2011
388	05/06/2011	11/06/2011
389	12/06/2011	18/06/2011
390	19/06/2011	25/06/2011
391	26/06/2011	02/07/2011
392	03/07/2011	09/07/2011
393	10/07/2011	16/07/2011
394	17/07/2011	23/07/2011
395	24/07/2011	30/07/2011
396	31/07/2011	06/08/2011
397	07/08/2011	13/08/2011
398	14/08/2011	20/08/2011
399	21/08/2011	27/08/2011
400	28/08/2011	03/09/2011
401	04/09/2011	10/09/2011
402	11/09/2011	17/09/2011
403	18/09/2011	24/09/2011
404	25/09/2011	01/10/2011
405	02/10/2011	08/10/2011
406	09/10/2011	15/10/2011
407	16/10/2011	22/10/2011
408	23/10/2011	29/10/2011
409	30/10/2011	05/11/2011
410	06/11/2011	12/11/2011
411	13/11/2011	19/11/2011
412	20/11/2011	26/11/2011
413	27/11/2011	03/12/2011
414	04/12/2011	10/12/2011
415	11/12/2011	17/12/2011
416	18/12/2011	24/12/2011
417	25/12/2011	31/12/2011
418	01/01/2012	07/01/2012
419	08/01/2012	14/01/2012
420	15/01/2012	21/01/2012
421	22/01/2012	28/01/2012
422	29/01/2012	04/02/2012
423	05/02/2012	11/02/2012
424	12/02/2012	18/02/2012
425	19/02/2012	25/02/2012
426	26/02/2012	03/03/2012
427	04/03/2012	10/03/2012
428	11/03/2012	17/03/2012
429	18/03/2012	24/03/2012
430	25/03/2012	31/03/2012
431	01/04/2012	07/04/2012
432	08/04/2012	14/04/2012
433	15/04/2012	21/04/2012
434	22/04/2012	28/04/2012
435	29/04/2012	05/05/2012
436	06/05/2012	12/05/2012
437	13/05/2012	19/05/2012
438	20/05/2012	26/05/2012
439	27/05/2012	02/06/2012
440	03/06/2012	09/06/2012
441	10/06/2012	16/06/2012
442	17/06/2012	23/06/2012
443	24/06/2012	30/06/2012
444	01/07/2012	07/07/2012
445	08/07/2012	14/07/2012
446	15/07/2012	21/07/2012
447	22/07/2012	28/07/2012
448	29/07/2012	04/08/2012
449	05/08/2012	11/08/2012
450	12/08/2012	18/08/2012
451	19/08/2012	25/08/2012
452	26/08/2012	01/09/2012
453	02/09/2012	08/09/2012
454	09/09/2012	15/09/2012
455	16/09/2012	22/09/2012
456	23/09/2012	29/09/2012
457	30/09/2012	06/10/2012
458	07/10/2012	13/10/2012
459	14/10/2012	20/10/2012
460	21/10/2012	27/10/2012
461	28/10/2012	03/11/2012
462	04/11/2012	10/11/2012
463	11/11/2012	17/11/2012
464	18/11/2012	24/11/2012
465	25/11/2012	01/12/2012
466	02/12/2012	08/12/2012
467	09/12/2012	15/12/2012
468	16/12/2012	22/12/2012
469	23/12/2012	29/12/2012
470	30/12/2012	05/01/2013
471	06/01/2013	12/01/2013
472	13/01/2013	19/01/2013
473	20/01/2013	26/01/2013
474	27/01/2013	02/02/2013
475	03/02/2013	09/02/2013
476	10/02/2013	16/02/2013
477	17/02/2013	23/02/2013
478	24/02/2013	02/03/2013
479	03/03/2013	09/03/2013
480	10/03/2013	16/03/2013
481	17/03/2013	23/03/2013
482	24/03/2013	30/03/2013
483	31/03/2013	06/04/2013
484	07/04/2013	13/04/2013
485	14/04/2013	20/04/2013
486	21/04/2013	27/04/2013
487	28/04/2013	04/05/2013
488	05/05/2013	11/05/2013
489	12/05/2013	18/05/2013
490	19/05/2013	25/05/2013
491	26/05/2013	01/06/2013
492	02/06/2013	08/06/2013
493	09/06/2013	15/06/2013
494	16/06/2013	22/06/2013
495	23/06/2013	29/06/2013
496	30/06/2013	06/07/2013
497	07/07/2013	13/07/2013
498	14/07/2013	20/07/2013
499	21/07/2013	27/07/2013
500	28/07/2013	03/08/2013
501	04/08/2013	10/08/2013
502	11/08/2013	17/08/2013
503	18/08/2013	24/08/2013
504	25/08/2013	31/08/2013
505	01/09/2013	07/09/2013
506	08/09/2013	14/09/2013
507	15/09/2013	21/09/2013
508	22/09/2013	28/09/2013
509	29/09/2013	05/10/2013
510	06/10/2013	12/10/2013
511	13/10/2013	19/10/2013
512	20/10/2013	26/10/2013
513	27/10/2013	02/11/2013
514	03/11/2013	09/11/2013
515	10/11/2013	16/11/2013
516	17/11/2013	23/11/2013
517	24/11/2013	30/11/2013
518	01/12/2013	07/12/2013
519	08/12/2013	14/12/2013
520	15/12/2013	21/12/2013
521	22/12/2013	28/12/2013
522	29/12/2013	04/01/2014
523	05/01/2014	11/01/2014
524	12/01/2014	18/01/2014
525	19/01/2014	25/01/2014
526	26/01/2014	01/02/2014
527	02/02/2014	08/02/2014
528	09/02/2014	15/02/2014
529	16/02/2014	22/02/2014
530	23/02/2014	01/03/2014
531	02/03/2014	08/03/2014
532	09/03/2014	15/03/2014
533	16/03/2014	22/03/2014
534	23/03/2014	29/03/2014
535	30/03/2014	05/04/2014
536	06/04/2014	12/04/2014
537	13/04/2014	19/04/2014
538	20/04/2014	26/04/2014
539	27/04/2014	03/05/2014
540	04/05/2014	10/05/2014
541	11/05/2014	17/05/2014
542	18/05/2014	24/05/2014
543	25/05/2014	31/05/2014
544	01/06/2014	07/06/2014
545	08/06/2014	14/06/2014
546	15/06/2014	21/06/2014
547	22/06/2014	28/06/2014
548	29/06/2014	05/07/2014
549	06/07/2014	12/07/2014
