repo_name;issue_number;sequence;keyword completude - expected and observed behavior;keyword completude - action items;keyword completude - build-related;keyword completude - user interface elements;keyword completude - documentation-related;keyword completude - source code-related;keyword completude - project-related;attach_file;readability - ari;readability - dale-chall;readability - flesch;code_fragment;step_to_reproduce;start_time;finish_time;comment
vagnerclementino/elasticsearch;100;1;0;1;0;0;0;1;0;0;5.9;9.76;85.69;0;0;2017-05-07 17:31:17.532073;2017-05-07 17:31:18.975846;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] Add step to reproduce.
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the text in issue body.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;99;1;1;3;0;1;1;4;0;0;17.9;8.91;49.49;0;1;2017-05-07 17:31:28.987806;2017-05-07 17:31:30.027342;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the readability of the text.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;98;1;2;3;3;0;0;2;1;0;106.2;11.18;-363.03;0;1;2017-05-07 17:31:40.038806;2017-05-07 17:31:56.940285;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the readability of the text.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;97;1;2;5;0;0;1;1;3;0;15.4;9.38;50.16;0;1;2017-05-07 17:32:06.952283;2017-05-07 17:32:09.011206;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;96;1;0;1;0;0;0;0;0;0;7.8;11.63;128.67;0;0;2017-05-07 17:32:19.022544;2017-05-07 17:32:19.961860;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] Add step to reproduce.
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the text in issue body.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;95;1;0;1;0;1;0;1;0;0;38.7;12.44;-44.59;0;0;2017-05-07 17:32:29.967263;2017-05-07 17:32:30.968453;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] Add step to reproduce.
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the readability of the text.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;94;1;1;5;0;0;1;0;0;0;28.7;9.52;34.26;0;1;2017-05-07 17:32:40.980497;2017-05-07 17:32:42.084037;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the readability of the text.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;93;1;0;4;0;0;0;1;0;0;9.9;7.6;70.13;0;0;2017-05-07 17:32:52.095681;2017-05-07 17:32:53.281932;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] Add step to reproduce.
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the text in issue body.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;92;1;6;8;0;1;0;5;0;0;43.0;12.7;13.62;0;1;2017-05-07 17:33:03.286089;2017-05-07 17:33:05.437879;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the readability of the text.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
vagnerclementino/elasticsearch;91;1;1;12;1;0;0;5;4;0;25.1;10.03;24.45;0;1;2017-05-07 17:33:15.449538;2017-05-07 17:33:16.590680;"Dear @vagnerclementino,
These issue do not looks great :-1:
 Would you like us to help you improve it? :smile:
You could take the following action:
 - [ ] To Attach files with a screenshots or stacktraces.
 - [ ] To include a code block.
 - [ ] To improve the readability of the text.

**Did you know:**
* Issues containing *stack traces* get fixed sooner.
* Issues that are *easier to read*  have lower lifetimes.
* Including *code samples* in your issue increases the chances of it getting fixed.
"
