Indicação de data e hora,Identificador do Artigo,Título do Artigo,Resumo do Artigo,Palavras Chaves do Artigo,Contribuição do Artigo,Papel suportado pela ferramenta,Representação | Query,Representação | Document,Reasoning (Estratégia),Qual ferramenta estendida ou utilizada pela extensão,O artigo utiliza a base de dados da ferramenta?,A solução proposta virou uma extensão da ferramenta?,O artigo será incluído no Mapeamento,Observações adicionais
01/09/2016 00:31:03,behl2014bug,A BUG MINING TOOL TO IDENTIFY AND ANALYZE SECURITY BUGS USING NAIVE BAYES AND TF-IDF: A COMPARATIVE ANALYSIS,"Bug report contains a vital role during software development, However bug reports belongs to different categories such as performance, usability, security etc. This paper focuses on security bug and presents a bug mining system for the identification of security and non-security bugs using the term frequency-inverse document frequency (TF-IDF) weights and naïve bayes. We performed experiments on bug report repositories of bug tracking systems such as bugzilla and debugger. In the proposed approach we apply text mining methodology and TF-IDF on the existing historic bug report database based on the bug s description to predict the nature of the bug and to train a statistical model for manually mislabeled bug reports present in the database. The tool helps in deciding the priorities of the incoming bugs depending on the category of the bugs i.e. whether it is a security bug report or a non-security bug report, using naïve bayes. Our evaluation shows that our tool using TF-IDF is giving better results than the naïve bayes method.","text analysis, Bug, TF-IDF, Naïve Bayes, security bug reports, non-security bug report, mining ","The tool helps in deciding the priorities of the incoming bugs depending on the category of the bugs i.e. whether it is a security bug report or a non-security bug report, using naïve bayes.",Classificador de RM (Scheduler),Keyword-basead,Vector space,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
01/09/2016 00:49:11,zhang2011bug,A BUG RULE BASED TECHNIQUE WITH FEEDBACK FOR CLASSIFYING BUG REPORTS,"As software programs become increasingly large and complex, it is more important to improve the quality of software maintenance. Many software programs rely on bug reports to correct errors in maintenance activities. Bug tracking systems were developed to guide maintenance activities of software developers. However, due to the excessive number of duplicate bug reports, developers spend much time to identify these bug reports. In this study, in order to save developers' time in software maintenance, we propose a bug rule based classification technique to categorize bug reports. By utilizing developer feedback mechanism in the technique, it distinguishes duplicate and valid bug reports and is expected to improve the accuracy of bug reports retrieval. Finally, we show the feasibility of this technique in experiment and case study.","software maintenance, bug report classification, bug tracking system, developer feedback","Classificação de Bugs em duplicados ou não. ""Therefore, in this study we propose a technique to classify bug reports for identifying duplicate reports.""",Gerente de Manutenção de Software (Maintenance-request manager),Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
01/09/2016 15:59:15,dal2013closer,A CLOSER LOOK AT BUGS,"The evolution of non-trivial software systems is accompanied by unexpected behaviour and side-effects, referred as bugs or defects. These defects are reported to and stored in bug tracking systems, which contain descriptions of the problems that have been encountered. However, bug tracking systems store and present bug reports in textual form, which makes their understanding dispersive and unintuitive. We present an approach to display bug reports through a web-based visual analytics platform, named in*Bug. in*Bug allows users to navigate and inspect the vast information space created by bug tracking systems, with the goal of easing the comprehension of bug reports in detail and also obtain an understanding “in the large” of how bugs are reported with respect to one system or to an entire software ecosystem.","software ecosystem, nontrivial software system evolution, bug tracking systems, Web-based visual analytics platform, in*Bug,bug reports","Visualização das informações do bug. Vide o texto: ""in*Bug allows users to navigate and inspect the vast information space created by bug tracking systems, with the goal of easing the comprehension of bug reports in detail and also obtain an understanding “in the large” of how bugs are reported with respect to one system or to an entire software ecosystem.""",Sem papel específico,Não utiliza,Não utiliza,Não utiliza,FogBugz,Sim,Não,Sim,
01/09/2016 16:40:52,bougie2010comparative,A COMPARATIVE EXPLORATION OF FREEBSD BUG LIFETIMES,"In this paper, we explore the viability of mining the basic  data  provided  in  bug  repositories  to  predict  bug  lifetimes. We  follow  the method  of  Lucas  D.  Panjer  as  described  in  his paper,  Predicting  Eclipse  Bug  Lifetimes.  However,  in  place  of Eclipse  data,  the  FreeBSD  bug  repository  is  used.  We  compare the predictive accuracy of five different classification algorithms applied to the two data sets. In addition, we propose future work on  whether  there  is  a  more  informative  way  of  classifying  bugs than  is  considered  by  current  bug  tracking  systems.",Mining  Software  Repositories;  Bug  lifetimes; FreeBSD,Definir o tempo de correção de uma Requisição de Mudança,Classificador de Bug (Scheduler),Diversos algoritmos,Diversos algoritmos,Diversos algoritmos,GNATS,Sim,Não,Não,Trata-se de um estudo de replicação e nenhuma extensão foi proposta. Os algoritmos utizados foram da WEKA
01/09/2016 20:08:11,alipour2013contextual,A CONTEXTUAL APPROACH TOWARDS MORE ACCURATE DUPLICATE BUG REPORT DETECTION,"Bug-tracking and issue-tracking systems tend to be populated with bugs, issues, or tickets written by a wide variety of bug reporters, with different levels of training and knowledge about the system being discussed. Many bug reporters lack the skills, vocabulary, knowledge, or time to efficiently search the issue tracker for similar issues. As a result, issue trackers are often full of duplicate issues and bugs, and bug triaging is time consuming and error prone. Many researchers have approached the bug-deduplication problem using off-the-shelf information-retrieval tools, such as BM25F used by Sun et al. In our work, we extend the state of the art by investigating how contextual information, relying on our prior knowledge of software quality, software architecture, and system-development (LDA) topics, can be exploited to improve bug-deduplication. We demonstrate the effectiveness of our contextual bug-deduplication method on the bug repository of the Android ecosystem. Based on this experience, we conclude that researchers should not ignore the context of software engineering when using IR tools for deduplication.","duplicate bug reports; triaging; textual simi-
larity; contextual information; machine learning; information
retrieval; deduplication",Utilizando de um método contextual para resolver o problema Requisição de Mudança,Classificador da Requsição de Mudança (Maintenance-request manager),Keyword-basead,Stream of characters,With Uncertainty | Probability theories,Android Issue Tracker,Sim,Não,Sim,
01/09/2016 20:14:36,hindle2016contextual,A CONTEXTUAL APPROACH TOWARDS MORE ACCURATE DUPLICATE BUG REPORT DETECTION AND RANKING,"The issue-tracking systems used by software projects contain issues, bugs, or tickets written by a wide variety of bug reporters, with different levels of training and knowledge about the system under development. Typically, reporters lack the skills and/or time to search the issue-tracking system for similar issues already reported. As a result, many reports end up referring to the same issue, which effectively makes the bug-report triaging process time consuming and error prone. Many researchers have approached the bug-deduplication problem using off-the-shelf information-retrieval (IR) tools. In this work, we extend the state of the art by investigating how contextual information about software-quality attributes, software-architecture terms, and system-development topics can be exploited to improve bug deduplication. We demonstrate the effectiveness of our contextual bug-deduplication method at ranking duplicates on the bug repositories of the Android, Eclipse, Mozilla, and OpenOffice software systems. Based on this experience, we conclude that taking into account domain-specific context can improve IR methods for bug deduplication.",Issue-tracking systems; Bug-tracing systems; Duplicate bug reports; Triaging Bug deduplication Information retrieval Software context,Remoção de Bugs Duplicados,Classificador da Requsição de Mudança (Maintenance-request manager),Keyword-basead,Stream of characters,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
01/09/2016 20:45:34,sun2010discriminative,A DISCRIMINATIVE MODEL APPROACH FOR ACCURATE DUPLICATE BUG REPORT RETRIEVAL,"

Bug repositories are usually maintained in software projects. Testers or users submit bug reports to identify various issues with systems. Sometimes two or more bug reports correspond to the same defect. To address the problem with duplicate bug reports, a person called a triager needs to manually label these bug reports as duplicates, and link them to their ""master"" reports for subsequent maintenance work. However, in practice there are considerable duplicate bug reports sent daily; requesting triagers to manually label these bugs could be highly time consuming.

To address this issue, recently, several techniques have be proposed using various similarity based metrics to detect candidate duplicate bug reports for manual verification. Automating triaging has been proved challenging as two reports of the same bug could be written in various ways. There is still much room for improvement in terms of accuracy of duplicate detection process. In this paper, we leverage recent advances on using discriminative models for information retrieval to detect duplicate bug reports more accurately. We have validated our approach on three large software bug repositories from Firefox, Eclipse, and OpenOffice. We show that our technique could result in 17--31%, 22--26%, and 35--43% relative improvement over state-of-the-art techniques in OpenOffice, Firefox, and Eclipse datasets respectively using commonly available natural language information only.",Bug-tracing systems; Duplicate bug reports; Triaging Bug; Information retrieval,Removação de bugs duplicados,Classificador da Requsição de Mudança (Maintenance-request manager),Keyword-basead,Vector space,With Learning | SVM,Bugzilla,Sim,Não,Sim,
01/09/2016 21:14:16,hosseini2012market,A MARKET-BASED BUG ALLOCATION MECHANISM USING PREDICTIVE BUG LIFETIMES,"Bug assignment in large software projects is typically a time-consuming and tedious task, effective assignment requires that bug triagers hold significant contextual information about both the reported bugs and the pool of available developers. In this paper, we propose an auction-based multiagent mechanism for assigning bugs to developers that is intended to minimize backlogs and overall bug lifetime. In this approach, developers and triagers are both modeled as intelligent software agents working on behalf of individuals in a multiagent environment. Upon receiving a bug report, triager agents auction off the bug and collect the requests. Developer agents compute their bids as a function of the developer's profile, preferences, current schedule of assigned bugs, and estimated time-to-fix of the bug. This value is then sent to the triager agent for the final decision. We use the Eclipse and Firefox bug repositories to validate our approach, our studies suggest that the proposed auction-based multiagent mechanism can improve the bug assignment process compared to currently practised methods. In particular, we found a 16% improvement in the number of fixed bugs compared to the historic data, based on a sample size of 213,000 bug reports over a period of 6 years.","bug repositories, Multiagent system, market mechanism, bug lifetime",Tratar o problema da atribuição de Requisição de Mudançao e Tempo de Resolução da Requisição de Mudança,Triagers,Keyword-basead,Vector space,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
01/09/2016 21:33:24,chawla2015automated,AN AUTOMATED APPROACH FOR BUG CATEGORIZATION USING FUZZY LOGIC,"Various automated techniques built to benefit software developers, bug triagers, stakeholders and users in open source systems, utilize information placed in issue tracking systems. The success of these techniques depends largely on the quality of information present in the issue reports. Assigning correct label to issue reports is one of the quality concerns. Previous empirical studies conducted on the issue reports show that most issues are either mislabeled or are not labeled at all. Thus, in order to enhance quality of issue reports, there is a strong need to propose an automated and accurate bug labeling approach. A label can be a bug, feature enhancement or other request. In this paper, we propose an automated approach to label an issue either as bug or other request based on fuzzy set theory. Experiments are conducted on issue repository of three open source software systems: HTTPClient, Jackrabbit and Lucene. We have achieved an accuracy of 87%, 83.5% and 90.8% and F-Measure score of 0.83, 0.79 and 0.84 respectively. This is a considerable improvement as compared to the earlier reported work on these three datasets using topic modeling approach."," Bug Repository, Bug Categorization, Fuzzy Logic ",Categorização de Requisição de Mudança,Agendador da Fila de Mudança (Scheduler),Keyword-basead,Stream of characters,With Uncertainty | Fuzzy set theories,Jira,Sim,Não,Sim,
01/09/2016 22:07:26,netto2010automated,AN AUTOMATED APPROACH FOR SCHEDULING BUG FIX TASKS,"Even if a development team uses the best Software Engineering practices to produce high-quality software, end users may find defects that were not previously identified during the software development life-cycle. These defects must be fixed and new versions of the software incorporating the patches that solve them must be released. The project manager must schedule a set of error correction tasks with different priorities in order to minimize the time required to accomplish these tasks and guarantee that the more important issues have been fixed. Given the large number of distinct schedules, an automatically tool to find good schedules may be helpful to project managers. This work proposes a method which captures relevant information from bug repositories and submits them to a genetic algorithm to find near optimal bug correction task schedules. We have evaluated the approach using a subset of the Eclipse bug repository and it suggested better schedules than the actual schedules followed by Eclipse developers.","task allocation, Search based software engineering, bug resolution ",Alocação de Tarefas do processo de resolução das Requisições de Mudanças,Líder do Setor de Manutenção (Head of Maintenance),Vector Space,Vector space,With Learning | Genetic algorithms,Bugzilla,Sim,Não,Sim,
